0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Genesis,1,12,sementem,sementis,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,secundum,secundum,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,12,speciem,species,noun,-,-,singular,-,-,-,-,-,feminine,-,accusative,-,-,-,-,-,-,-,-
Genesis,1,12,suam,suus,determiner,-,-,singular,-,personal,-,pos,-,feminine,-,accusative,-,-,-,-,pos,psor,-,-
Genesis,1,12,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,vidit,vidit,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,12,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,12,quod,quod,subordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,12,esset,sum,auxiliary,-,-,singular,active,-,past,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,12,bonum,bonum,noun,-,-,singular,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,12,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,13,factumque,facto,verb,-,-,singular,passive,-,past,-,-,neuter,-,nominative,perfective,-,-,-,-,-,participle,positive
Genesis,1,13,est,sum,auxiliary,-,-,singular,active,-,present,-,-,-,-,-,-,-,-,indicative,-,third,finite,-
Genesis,1,13,vespere,vespere,adverb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,13,et,et,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,13,mane,mane,adverb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,13,dies,dies,noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,13,tertius,tertius,adjective,ordinal,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,positive
Genesis,1,13,;,;,punctuation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,14,dixit,dico,verb,-,-,singular,active,-,past,-,-,-,-,-,perfective,-,-,indicative,-,third,finite,-
Genesis,1,14,autem,autem,coordinating_conjunction,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Genesis,1,14,Deus,Deus,proper_noun,-,-,singular,-,-,-,-,-,masculine,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,14,fiant,facio,verb,-,-,plural,passive,-,present,-,-,-,-,-,imperfective,-,-,subjunctive,-,third,finite,-
Genesis,1,14,luminaria,luminare,noun,-,-,plural,-,-,-,-,-,neuter,-,nominative,-,-,-,-,-,-,-,-
Genesis,1,14,in,in,adposition,-,-,-,-,-,-,-,-,-,-,-,-,-,preposition,-,-,-,-,-
Genesis,1,14,firmamento,firmamentum,noun,-,-,singular,-,-,-,-,-,neuter,-,ablative,-,-,-,-,-,-,-,-
